vrad_min,vrad_max,vrad_step,n_samples,true_mean_mps,pred_mean_mps,bias_mps,std_mps,mae_mps,median_abs_err_mps,rmse_mps,min_residual_mps,max_residual_mps,pearson_r
-15.979999999999919,14.020000000000081,0.1,30,1.2884508275116483e-13,7.579122514774402e-15,-1.2126596023639043e-13,13.015574311916026,10.522640296600972,8.841445379519485,12.796809583383457,-27.09824258595154,25.75353948799568,0.7552951706275409
-15.969999999999917,14.030000000000083,0.1,30,-1.2126596023639043e-13,1.8947806286936005e-15,1.2316074086508402e-13,13.993999510432918,11.169013520941673,9.797075673477792,13.758789489682473,-33.04004328879253,27.670605379807824,0.7270362807230122
-15.959999999999916,14.040000000000084,0.1,30,2.0463630789890886e-13,3.789561257387201e-15,-2.0084674664152165e-13,15.178127162019992,11.63159490339766,10.000678912567366,14.92301441872812,-36.23740916593778,29.042233664646858,0.6791995772830196
-15.949999999999914,14.050000000000086,0.1,30,6.063298011819522e-14,9.473903143468002e-15,-5.1159076974727215e-14,15.801121461688608,12.155546002445439,9.320922636772224,15.53553748020331,-37.06315969997243,28.369393733255805,0.6547932234335249
-15.939999999999912,14.060000000000088,0.1,30,-6.821210263296962e-14,-5.684341886080802e-15,6.252776074688882e-14,16.441339278606023,12.907367083744214,8.650402423842792,16.164994567431567,-36.13608568705254,27.130897204977913,0.647165058493752
-15.929999999999911,14.070000000000089,0.1,30,1.6295113406764964e-13,1.1368683772161604e-14,-1.5158245029548803e-13,16.52557742717345,13.36228593654666,9.905350118778415,16.247816847958,-37.30235203128717,26.577646032793552,0.676195936604906
-15.91999999999991,14.08000000000009,0.1,30,-3.031649005909761e-14,9.473903143468002e-16,3.126388037344441e-14,17.8540133648092,14.009220272409674,12.24268927219343,17.553924540961187,-42.54586962109694,27.067975857921837,0.6428256599028213
-15.909999999999908,14.090000000000092,0.1,30,6.063298011819522e-14,-2.842170943040401e-15,-6.347515106123562e-14,21.895429550079665,17.66518914024255,17.928451906073846,21.527412927313982,-53.41307704084893,29.780489003640284,0.6509138958656561
-15.899999999999906,14.100000000000094,0.1,30,-9.473903143468003e-14,1.8947806286936005e-15,9.663381206337362e-14,26.409024222826993,22.382682755200083,22.314379653630198,25.96514346301853,-51.456622535783055,37.2248119155897,0.7270710526381494
-15.889999999999905,14.110000000000095,0.1,30,1.1747639897900324e-13,-3.789561257387201e-15,-1.2126596023639043e-13,28.099550022375784,24.09163224311328,22.14861623301698,27.6272550405935,-43.477238889610305,46.901244656390816,0.7647856784947128
-15.879999999999903,14.120000000000097,0.1,30,-1.6295113406764964e-13,-3.079018521627101e-15,1.5987211554602254e-13,25.435919174849452,20.699319964839038,18.372569472636563,25.00839428659555,-39.35351707297851,53.24422432811938,0.7420865823017024
-15.869999999999902,14.130000000000098,0.1,30,-2.6526928801710407e-14,2.842170943040401e-15,2.936909974475081e-14,21.48400907539877,17.415224947976203,13.031284221083254,21.122907574954958,-36.449704511526576,46.936109840233215,0.7498004034106063
-15.8599999999999,14.1400000000001,0.1,30,7.579122514774402e-14,9.473903143468002e-16,-7.484383483339722e-14,18.190053812992872,15.114883077236325,14.956999105454429,17.88431684825909,-32.979958914607224,33.08560951964397,0.7504982837371957
-15.849999999999898,14.150000000000102,0.1,30,9.094947017729283e-14,7.105427357601002e-16,-9.023892744153272e-14,15.139819488665747,11.501170132884294,8.702572336021433,14.885350617673415,-28.072860227162042,33.737171125248494,0.6487989308931703
-15.839999999999897,14.160000000000103,0.1,30,2.2737367544323207e-14,-7.401486830834377e-18,-2.250792145256734e-14,13.700386086808273,10.183081810359756,6.456090617009977,13.470111096919581,-29.54688260925414,33.34150093709283,0.6394385802742174
-15.829999999999895,14.170000000000105,0.1,30,-5.3053857603420815e-14,-1.0658141036401502e-15,5.198804349978066e-14,13.561765989007771,10.001490003208309,7.007749243559942,13.333820914598624,-28.118586756303756,33.898272934817584,0.6026387466457188
-15.819999999999894,14.180000000000106,0.1,30,-1.3263464400855204e-13,-4.736951571734001e-16,1.3216094885137864e-13,13.115552220501959,9.53662499324804,7.196985156742521,12.895107071305123,-28.745763129068784,32.59687433765419,0.5515968541914574
-15.809999999999892,14.190000000000108,0.1,30,-2.2358411418584485e-13,1.4210854715202005e-15,2.2500519965736507e-13,11.838929259210145,8.43029980130998,5.63121108750687,11.639941486297488,-28.490575715067074,29.60055865142622,0.5059677014888823
-15.79999999999989,14.20000000000011,0.1,30,9.852859269206723e-14,4.736951571734001e-16,-9.805489753489383e-14,10.604856219707443,7.679211951092371,6.640441364564772,10.426610647408168,-25.917110576238663,26.20754402506349,0.46290097515918155
-15.789999999999889,14.210000000000111,0.1,30,-1.1368683772161604e-14,-2.842170943040401e-15,8.526512829121202e-15,10.182779363984942,7.580476587469661,6.285351937621158,10.01162802560491,-24.46479187871519,23.535385330290566,0.410372856296529
-15.779999999999887,14.220000000000113,0.1,30,1.4779288903810084e-13,-9.473903143468002e-16,-1.4874027935244764e-13,10.071491283138792,7.840840447820889,5.588970184626007,9.902210465890734,-22.851028935481835,18.78788209306869,0.2853860747390023
-15.769999999999886,14.230000000000114,0.1,30,-1.3642420526593923e-13,-1.4210854715202005e-15,1.3500311979441904e-13,10.275374232525833,8.115945416296594,5.872056558098542,10.102666567026118,-20.452552229057552,19.684058804068535,0.23289221073432068
-15.759999999999884,14.240000000000116,0.1,30,4.168517383125921e-14,9.473903143468002e-16,-4.073778351691241e-14,9.954983207934992,7.746344139415082,5.364107614262707,9.787660649065167,-20.017004655037695,20.152449955557003,0.27315564169254686
-15.749999999999883,14.250000000000117,0.1,30,-1.1368683772161603e-13,2.842170943040401e-15,1.1652900866465642e-13,10.010378918877711,7.7832797767457995,5.986840072343455,9.842125273343877,-19.350596159797462,21.393585930206726,0.24896937355253335
-15.739999999999881,14.260000000000119,0.1,30,-8.337034766251842e-14,-5.684341886080802e-15,7.768600577643762e-14,9.223305636325277,7.181262892616383,5.474532204254444,9.068281055361814,-17.788834376647884,20.351605321703772,0.2404613694007235
-15.72999999999988,14.27000000000012,0.1,30,2.2737367544323207e-14,1.8947806286936005e-15,-2.0842586915629604e-14,8.690080305902145,6.7570452777456165,5.5393320312186916,8.544018133501005,-17.595403893286658,19.186360607731075,0.25119921037577564
-15.719999999999878,14.280000000000122,0.1,30,-5.3053857603420815e-14,-2.842170943040401e-15,5.021168666038041e-14,7.991323829996244,6.235657193313758,5.101318421382871,7.857006300366804,-16.920243804201007,15.699742546893773,0.26580608948730067
-15.709999999999877,14.290000000000123,0.1,30,3.789561257387201e-15,-1.8947806286936005e-15,-5.684341886080802e-15,7.347992206149767,5.662992724083185,4.922953710615587,7.224487742826462,-15.644259665277303,12.412666908116904,0.24110474776667223
-15.699999999999875,14.300000000000125,0.1,30,-5.3053857603420815e-14,3.789561257387201e-15,5.684341886080802e-14,7.119857561411577,5.471221809146145,4.905726177654117,7.000187566889186,-14.836567053974079,14.085651231312625,0.2109924848343946
-15.689999999999873,14.310000000000127,0.1,30,-1.2126596023639043e-13,1.1368683772161604e-14,1.3263464400855204e-13,6.948718504945957,5.17337289832246,4.470576788166397,6.831925001950702,-14.558032000582841,15.274678198574236,0.21317268942587972
-15.679999999999872,14.320000000000128,0.1,30,-7.579122514774402e-14,0.0,7.579122514774402e-14,6.794695510872792,5.105216328140091,4.266087620650751,6.680490814001547,-13.897976932045708,14.772712366388419,0.22126128660752448
