species,wave,wave_vald,wave_l,wave_u,flux,flux_vald,flux_l,flux_u,depth,depth_vald,loggf,E_l,J_l,E_u,J_u,lande_l,lande_u,lande_m,damping_rad,damping_stark,damping_waals,vrad_info,crit_CaHK
OH 1,3014.712022671581,3014.7226,3014.68,3014.77,0.4514263868331909,0.752,0.50847685,0.682479,0.5485736131668091,0.248,-1.627,1.5968,23.5,5.7095,23.5,99.0,99.0,99.0,0.0,0.0,0.0,1922880196.9802022,True
OH 1,3014.825804173488,3014.8267,3014.78,3014.91,0.5318918228149414,0.789,0.68699336,0.85836,0.4681081771850586,0.211,-1.911,1.3626,15.5,5.4751,15.5,99.0,99.0,99.0,0.0,0.0,0.0,2893045581.938635,True
Nd 2,3015.0469143846467,3015.0442,3014.92,3015.11,0.1126558780670166,0.8049999999999999,0.8571619,0.56973904,0.8873441219329834,0.195,-0.66,0.2046,4.5,4.3168,3.5,0.75,0.83,0.62,0.0,0.0,0.0,24537860437.22562,True
Fe 1,3015.1891499377775,3015.1925,3015.12,3015.32,0.21198034286499023,0.06999999999999995,0.5857038,0.860891,0.7880196571350098,0.93,-2.049,2.4534,4.0,6.5654,4.0,0.81,1.21,1.01,7.67,-4.71,-7.5,16542152320.811995,True
Mn 1,3015.5370215541925,3015.5387,3015.33,3015.57,0.27300214767456055,0.276,0.8606558,0.37282065,0.7269978523254395,0.724,-0.622,3.1325,5.5,7.2441,5.5,1.27,1.13,1.2,8.03,-6.17,-7.82,8309249221.208908,True
Cr 1,3015.6622549093026,3015.6433,3015.58,3015.73,0.03741717338562012,0.020000000000000018,0.36663893,0.12304442,0.9625828266143799,0.98,-0.05,0.9684,1.0,5.0798,2.0,1.5,1.28,1.17,8.55,-5.71,-7.64,10493809279.64175,True
Cr 1,3015.7891572312483,3015.7924,3015.74,3015.95,0.0449676513671875,0.016000000000000014,0.12533826,0.663221,0.9550323486328125,0.984,0.25,0.9829,2.0,5.094,3.0,1.5,1.25,0.99,8.59,-5.91,-7.68,13416632144.625189,True
Cr 1,3016.0743355978398,3016.0745,3015.96,3016.15,0.07754087448120117,0.02300000000000002,0.66424036,0.5375371,0.9224591255187988,0.977,-0.2,0.961,0.0,5.0718,1.0,0.0,0.0,0.0,8.6,-5.92,369.28,23897030967.44508,True
Fe 1,3016.208548515017,3016.209,3016.16,3016.28,0.3507711887359619,0.19499999999999995,0.54399866,0.6983128,0.6492288112640381,0.805,-2.107,3.241,3.0,7.3516,3.0,1.5,0.95,1.22,8.32,-3.62,-7.37,5118284629.68704,True
Cr 2,3016.3811369265604,3016.3829,3016.29,3016.47,0.22908282279968262,0.10899999999999999,0.6962392,0.77919114,0.7709171772003174,0.891,0.023,4.4148,3.5,8.5251,3.5,1.14,1.15,1.15,8.4,-6.49,190.237,14981578297.196941,True
Dy 2,3016.560748667005,3016.5606,3016.48,3016.64,0.44718432426452637,0.859,0.77295583,0.7753959,0.5528156757354736,0.141,0.375,1.4128,7.5,5.5229,8.5,1.38,1.28,0.89,0.0,0.0,0.0,4965418208.008215,True
Fe 1,3016.8042714953867,3016.7972,3016.65,3016.92,0.0821382999420166,0.03200000000000003,0.77391285,0.39211047,0.9178617000579834,0.968,-1.14,2.4327,5.0,6.5425,4.0,1.04,0.81,1.49,8.08,-6.05,317.247,16827262549.763147,True
Fe 1,3017.061272612161,3017.0632,3016.93,3017.17,0.025508403778076172,0.009000000000000008,0.388306,0.19780117,0.9744915962219238,0.991,-1.441,0.9901,2.0,5.0995,1.0,1.0,-0.01,1.5,8.78,-5.78,450.294,9992479342.009764,True
Fe 1,3017.204966540783,3017.2194,3017.18,3017.27,0.17319440841674805,0.10699999999999998,0.19989863,0.50559247,0.826805591583252,0.893,-2.361,2.5881,3.0,6.6973,4.0,1.07,1.2,1.38,7.78,-4.72,-7.49,5765873685.125882,True
Mn 1,3017.3279238723953,3017.3299,3017.28,3017.5,0.3188002109527588,0.16700000000000004,0.5173478,0.75270194,0.6811997890472412,0.833,-0.33,3.135,4.5,7.2441,5.5,1.17,1.13,1.04,8.03,-6.17,349.239,6501480514.2037115,True
V 2,3017.652403506001,3017.659,3017.51,3017.78,0.14990019798278809,0.06999999999999995,0.75234807,0.7283571,0.8500998020172119,0.93,-0.05,1.7037,3.0,5.8124,2.0,1.62,1.68,1.56,8.56,-6.46,-7.86,17999370358.009666,True
OH 1,3018.082817613965,3018.0827,3017.79,3018.1,0.06562089920043945,0.772,0.7289319,0.073854886,0.9343791007995605,0.228,-1.995,1.25,19.5,5.358,18.5,99.0,99.0,99.0,0.0,0.0,0.0,10138567281.71719,True
Co 1,3018.1240517616225,3018.1345,3018.11,3018.22,0.0664333701133728,0.10899999999999999,0.072474286,0.32912165,0.9335666298866272,0.891,-0.691,1.8826,2.5,5.9906,3.5,1.52,1.17,0.75,8.11,-6.23,-7.8,4559501874.425979,True
